apk_name,navigator.getBattery,navigator.camera,device,navigator.notification,cordova.file,navigator.geolocation,cordova.InAppBrowser,Media,navigator.device.capture,navigator.connection,screen.orientation,navigator.splashscreen,StatusBar,navigator.vibrate
com.pixeldolphingame.tapandfield,0,0,55,0,0,0,0,1,0,0,0,0,0,0
com.yoyo.lgc.android,0,1,4,2,0,1,0,94,1,2,0,1,0,0
br.com.rommel.point,0,6,50,2,0,8,0,64,2,0,0,0,5,0
ca.cultureplex.drglearning,0,0,11,1,0,2,0,5,0,0,0,0,0,0
sworkitapp.sworkit.com,0,0,1,1,0,0,0,98,0,1,0,0,0,0
au.edu.swsi.tafeswsi,0,1,8,2,0,7,0,1,0,1,0,1,0,0
org.meshtek.quotetime,0,4,1,3,0,8,0,46,0,0,0,0,0,0
br.com.tippz,0,8,2,2,0,1,0,94,1,1,0,1,0,0
com.sourcefuse.foodietogo,0,0,7,0,0,2,0,1,0,1,0,1,0,0
br.com.petrim.supercalculadora,0,1,1,2,0,1,0,1,1,2,0,1,0,0
com.audero.free.utility.currencyconverter,0,0,1,4,0,0,0,98,0,1,0,0,0,0
com.aitrich.roadrescue,0,0,57,0,0,0,0,98,0,1,0,0,0,0
com.telerik.RCI___HobbykingApp,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.wooinvi.xoso,0,1,8,9,0,1,0,2,1,2,0,1,0,0
com.mybusinesscatalog.demo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.exposure101.stagehand,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.epanicdev.livephotoapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.cittaininternet.spelloturismo,0,1,4,2,0,1,0,2,1,2,0,1,0,0
com.netscribe.BuildACareer,0,4,1,1,0,5,0,4,2,0,0,0,4,0
com.cywheel.IDoubtIt_en,0,0,1,1,0,0,0,2,0,0,0,0,0,0
com.sinaapp.SAEtt4s,0,3,1,2,0,1,0,2,2,0,0,2,0,0
com.myapartmentmap.MyApartmentMap,0,0,47,0,0,0,0,87,0,0,0,0,0,0
com.programmerworld.HRInterviewQuestionsLite,0,0,55,1,0,3,0,87,0,0,0,0,0,0
nl.nn.kijkoppensioen,0,1,34,8,0,1,0,88,1,2,0,1,0,0
com.feudfraudINT,0,0,47,0,0,0,0,87,0,0,0,0,0,0
com.close2u,0,1,58,2,0,1,0,94,1,2,0,1,0,0
com.Verbier,0,0,1,1,0,1,0,98,1,1,0,0,0,0
com.webloxion.byolife_streets_app,0,4,1,3,0,8,0,46,0,0,0,0,0,0
ch.creisi.cppairsfree,0,0,1,1,0,0,0,96,0,1,0,1,0,0
com.runemartin.bartebuss,0,6,1,2,0,2,0,64,2,0,0,2,0,0
com.phonegap.bizzdesk,0,4,1,2,0,8,0,44,0,0,0,0,0,0
de.krug.eartastic,0,1,63,2,0,1,0,94,1,2,0,1,0,0
com.DTWTech.WebCodeApp,0,0,57,2,0,0,0,98,0,1,0,1,0,0
com.ouadbanyoussef.ipastcontact,0,0,1,3,0,0,0,87,0,0,0,0,2,0
it.mobimentum.aragnozzles,0,1,1,1,0,1,0,3,1,2,0,1,0,0
iclicker.riccardofilippone,0,6,4,3,0,8,0,3,2,0,0,0,0,0
by.stdnk.gpk,0,4,1,3,0,8,0,54,2,0,0,0,0,0
com.sweetsugar.gallerylock,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sa.edu.ksu.Ayat,0,0,1,0,0,0,0,3,0,1,0,0,0,0
com.mathopen.androidmath,0,6,52,2,0,8,0,17,2,0,0,0,0,0
com.softrole.bstales,0,1,7,2,0,1,0,94,1,2,0,1,0,0
com.beelinkapp.Beelink,0,0,15,2,0,0,0,32,0,3,0,4,0,0
com.bippesbrandao.phonegap.rechenknecht,0,6,50,2,0,8,0,64,2,0,0,0,0,0
de.applikationswerk.hannoverguide,0,0,44,0,0,2,0,87,0,0,0,4,0,0
org.councilroad.mychurch,0,6,52,2,0,8,0,64,2,0,0,0,0,0
com.iopensoft.pronto,0,1,5,3,0,1,0,3,1,2,0,1,0,0
de.stanwood.onair.phonegap,0,0,2,6,0,0,0,96,0,1,0,0,2,0
com.hiddenobjectdogs,0,1,8,2,0,1,0,11,1,2,0,1,0,0
com.fieldateam.coach,0,1,2,2,0,1,0,84,1,2,0,1,0,0
com.mestre.solidale,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.keranmckenzie.oandx,0,1,21,2,0,1,0,94,1,2,0,1,0,0
com.townside.comparemymobile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lightingcalc.everlastlight.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.yousaid.what,0,6,16,1,0,1,0,1,1,2,0,1,2,0
com.laformula1.android,0,0,1,12,0,1,0,3,0,0,0,0,0,0
com.alawar.TwistedLandsInsomniac,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.tiggzi.project54500,0,1,1,0,0,4,0,3,0,1,0,0,0,0
com.cloudrobots.azfinance,0,0,59,0,0,0,0,87,0,0,0,0,0,0
info.i360.amamua,0,0,1,6,0,2,0,98,0,1,0,1,0,0
de.n1klas.whereisthesun,0,2,16,2,0,11,0,49,2,0,0,0,0,0
br.com.algorich.impostometro,0,2,1,0,0,1,0,88,0,9,0,1,0,0
com.parcye.hondcalc,0,1,7,2,0,1,0,80,0,0,0,0,0,0
com.audero.free.utility.whereiparkedmycar,0,0,1,5,0,2,0,87,0,0,0,0,0,0
com.semarketir.mosquedetector,0,0,16,2,0,1,0,5,0,1,0,1,0,0
SevenSky_Main_Android.SevenSky_Main_Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.fala.fastmail,0,1,1,0,0,3,0,1,0,1,0,0,0,0
org.teusink.droidpapers,0,1,1,2,0,1,0,3,1,1,0,1,0,0
com.pixshar.pixsharnews,0,0,0,0,0,0,0,0,0,0,0,0,0,0
