apk_name,battery-status,camera,contacts,device,dialogs,file,geolocation,globalization,inappbrowser,media,media-capture,network-information,splashscreen,statusbar,vibration
de.krug.eartastic,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1
com.DTWTech.WebCodeApp,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
com.ouadbanyoussef.ipastcontact,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
it.mobimentum.aragnozzles,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
iclicker.riccardofilippone,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1
by.stdnk.gpk,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0
sa.edu.ksu.Ayat,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0
com.mathopen.androidmath,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
com.softrole.bstales,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0
com.beelinkapp.Beelink,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0
com.bippesbrandao.phonegap.rechenknecht,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0
de.applikationswerk.hannoverguide,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
org.councilroad.mychurch,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0
com.iopensoft.pronto,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
de.stanwood.onair.phonegap,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0
com.hiddenobjectdogs,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0
com.fieldateam.coach,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0
com.keranmckenzie.oandx,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
com.yousaid.what,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0
com.laformula1.android,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1
com.tiggzi.project54500,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
com.cloudrobots.azfinance,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
info.i360.amamua,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0
de.n1klas.whereisthesun,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0
br.com.algorich.impostometro,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0
com.parcye.hondcalc,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0
com.audero.free.utility.whereiparkedmycar,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0
com.semarketir.mosquedetector,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
com.fala.fastmail,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
org.teusink.droidpapers,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1
com.ilscipio.browseo,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
org.opencorebanking.martfree,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
com.keepers.friocerofinal,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0
com.darts_scorer.dartsScorer,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
org.devgeeks.fourzzzfm,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
cl.androidapps.metrovalpo,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0
it.bettinglife.mobile.lite,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0
org.sfgov.web,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
com.app.telkomvision,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
com.randommunch,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0
org.caou.bouncetothemoon,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
mobi.tapto.loadr,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1
com.groundroad.salecalc,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0
com.enmerchant.turnchef,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1
com.icommerce.ece,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1
com.urnotl.thepositivefactors,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1
com.degenet.reiortiz,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
it.nowhere.afcoltellerie,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0
com.gamzaz.app,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
com.eurovisionspain.eurovision_spain,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
ch.mitinnovation.apps.luegeten,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0
com.labaix.roomheatpowcalc,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
com.spluhdap.hangmantogo,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
com.mobilecrud.clickorclash,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
com.spotamo.app,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1
com.szappatini.timber,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0
com.prolateral.outmailusage,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1
ac.defib.mobile,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
nl.markdegroot.harenharen,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0
sg.com.safraradio.jia883fm,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0
ch.schwingenonline.android (1),1,0,0,1,1,0,0,1,1,0,0,1,1,1,1
com.senddr.mobile,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1
com.etpio.footwork,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
com.soffia.thealphabet,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0
com.andygreen.AndyGreen,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1
com.rouxbee.dottodotzoo.free,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0
net.mpowers.brigade.android,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
com.isuagm.suagm,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0
com.phenu.speeker,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
com.camden.phonegapmega,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
com.phonegap.bearthdays,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0
com.HangmanCreator,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1
com.opentangerine.ejero.mobile,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1
ntg.fuelstation.finder,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
net.ikeretxebarria.euskeraz,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1
de.disupport.GDApp,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0
com.buzzvote.mobileapp,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1
org.guess.that,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0
com.stungeye.winnipegnews,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
com.ironServices.audioBooks,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0
com.mindtricksdev.mathiq,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
com.icode.pataterie,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0
com.wizardtykes.phonegap,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
com.aragon.kairos,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0
com.auctions411.cloudpos,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1
com.mds.applaud,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
cloud4apps.cBlocker,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1
com.VergeSystems.WebHR,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0
org.voxteneo,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
