apk_name,battery-status,camera,contacts,device,dialogs,file,geolocation,globalization,inappbrowser,media,media-capture,network-information,splashscreen,statusbar,vibration,config.xml,plugins.xml
kz.ps.app,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.iv.perfectchristianquotes,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1
com.pixeldolphingame.tapandfield,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1
com.yoyo.lgc.android,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
br.com.rommel.point,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
ca.cultureplex.drglearning,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0
sworkitapp.sworkit.com,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1
au.edu.swsi.tafeswsi,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0
org.meshtek.quotetime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
br.com.tippz,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.sourcefuse.foodietogo,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
br.com.petrim.supercalculadora,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0
com.audero.free.utility.currencyconverter,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.aitrich.roadrescue,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1
com.wooinvi.xoso,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.mybusinesscatalog.demo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.cittaininternet.spelloturismo,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.netscribe.BuildACareer,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
com.cywheel.IDoubtIt_en,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0
com.sinaapp.SAEtt4s,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1
com.myapartmentmap.MyApartmentMap,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1
com.programmerworld.HRInterviewQuestionsLite,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1
nl.nn.kijkoppensioen,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1
com.feudfraudINT,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1
com.close2u,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.Verbier,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.webloxion.byolife_streets_app,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ch.creisi.cppairsfree,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.runemartin.bartebuss,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
com.phonegap.bizzdesk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
de.krug.eartastic,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
com.DTWTech.WebCodeApp,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0
com.ouadbanyoussef.ipastcontact,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1
it.mobimentum.aragnozzles,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
iclicker.riccardofilippone,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
by.stdnk.gpk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sa.edu.ksu.Ayat,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
com.mathopen.androidmath,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
com.softrole.bstales,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0
com.beelinkapp.Beelink,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1
com.bippesbrandao.phonegap.rechenknecht,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
de.applikationswerk.hannoverguide,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
org.councilroad.mychurch,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
com.iopensoft.pronto,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
de.stanwood.onair.phonegap,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0
com.hiddenobjectdogs,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.fieldateam.coach,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1
com.keranmckenzie.oandx,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.yousaid.what,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.laformula1.android,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0
com.tiggzi.project54500,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.cloudrobots.azfinance,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0
info.i360.amamua,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
de.n1klas.whereisthesun,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
br.com.algorich.impostometro,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0
com.parcye.hondcalc,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
com.audero.free.utility.whereiparkedmycar,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0
com.semarketir.mosquedetector,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.fala.fastmail,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0
org.teusink.droidpapers,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0
com.ilscipio.browseo,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0
org.opencorebanking.martfree,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.keepers.friocerofinal,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.darts_scorer.dartsScorer,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
org.devgeeks.fourzzzfm,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
cl.androidapps.metrovalpo,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
it.bettinglife.mobile.lite,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0
org.sfgov.web,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.app.telkomvision,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.randommunch,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0
org.caou.bouncetothemoon,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1
mobi.tapto.loadr,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0
com.groundroad.salecalc,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
com.enmerchant.turnchef,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.icommerce.ece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.urnotl.thepositivefactors,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
com.degenet.reiortiz,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1
it.nowhere.afcoltellerie,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.gamzaz.app,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
com.eurovisionspain.eurovision_spain,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
ch.mitinnovation.apps.luegeten,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
com.labaix.roomheatpowcalc,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
com.spluhdap.hangmantogo,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1
com.mobilecrud.clickorclash,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.spotamo.app,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1
com.szappatini.timber,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0
com.prolateral.outmailusage,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1
ac.defib.mobile,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
nl.markdegroot.harenharen,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
sg.com.safraradio.jia883fm,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0
ch.schwingenonline.android (1),0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0
com.senddr.mobile,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0
com.etpio.footwork,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0
com.soffia.thealphabet,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
com.andygreen.AndyGreen,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.rouxbee.dottodotzoo.free,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
net.mpowers.brigade.android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.isuagm.suagm,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0
com.phenu.speeker,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.camden.phonegapmega,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
com.phonegap.bearthdays,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
com.HangmanCreator,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
com.opentangerine.ejero.mobile,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0
ntg.fuelstation.finder,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1
net.ikeretxebarria.euskeraz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
de.disupport.GDApp,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1
com.buzzvote.mobileapp,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0
org.guess.that,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.stungeye.winnipegnews,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
com.ironServices.audioBooks,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1
com.mindtricksdev.mathiq,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.icode.pataterie,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.wizardtykes.phonegap,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1
com.aragon.kairos,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
com.auctions411.cloudpos,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0
com.mds.applaud,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
cloud4apps.cBlocker,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0
com.VergeSystems.WebHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
org.voxteneo,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1
com.healthtap.userhtexpress,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0
cz.burger.android.phonegap.mobileprsi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.SpaceStationFinder,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0
org.seciconsulting.mrfoggpuglia,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.jazzlebags.assgassfree,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.summit.conduitfilltracker,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0
com.sixstephens.knotster,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1
com.phonegap.mabc,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
com.guessmypic,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1
com.yip.roll7days,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.sjdm.pip.android,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
se.svenskchefsforening.nysomchef,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
us.skyb.skysigns,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
com.apps.budget,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
mx.com.tekne.mobile.gotocinema,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
com.mulvaney.go2012,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1
com.reachtree.profile,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.creativegrid.feltfactoryfree,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
com.phonegap.unfpa,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.racingsolution.mobileautoscene,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.phonegap.myvidster,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0
com.webprofusion.openchargemap,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.aryaco.mobile,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0
com.pride.lgbt,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
com.phonegap.bostaden,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
com.springmobile.employee,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.skytoplabs.kapeesh,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0
