apk_name,battery-status,camera,contacts,device,dialogs,file,geolocation,globalization,inappbrowser,media,media-capture,network-information,splashscreen,statusbar,vibration
com.myapartmentmap.MyApartmentMap,13,5,74,47,0,7,0,0,0,87,0,4,0,0,0
com.programmerworld.HRInterviewQuestionsLite,13,6,74,55,1,7,3,0,0,87,0,4,0,0,0
nl.nn.kijkoppensioen,12,7,48,34,8,13,1,1,0,88,1,11,1,0,0
com.feudfraudINT,13,5,74,47,0,7,0,0,0,87,0,4,0,0,0
com.close2u,13,8,75,58,2,8,1,1,0,94,1,11,1,0,0
com.Verbier,13,6,74,1,1,4,1,0,0,98,1,2,0,0,0
ch.creisi.cppairsfree,13,7,74,1,1,1,0,0,0,96,0,10,1,0,0
com.runemartin.bartebuss,13,33,41,1,2,5,2,0,0,64,2,5,2,0,0
de.krug.eartastic,13,9,75,63,2,8,1,1,0,94,1,11,1,0,0
com.DTWTech.WebCodeApp,13,6,74,57,2,7,0,1,0,98,0,10,1,0,0
com.ouadbanyoussef.ipastcontact,13,6,74,1,3,7,0,0,0,87,0,4,0,2,0
it.mobimentum.aragnozzles,13,9,75,1,1,8,1,1,0,3,1,11,1,0,0
iclicker.riccardofilippone,13,33,41,4,3,5,8,0,0,3,2,5,0,0,0
sa.edu.ksu.Ayat,13,6,74,1,0,8,0,0,0,3,0,10,0,0,0
com.mathopen.androidmath,13,33,41,52,2,5,8,0,0,17,2,5,0,0,0
com.softrole.bstales,13,9,75,7,2,8,1,1,0,94,1,11,1,0,0
com.beelinkapp.Beelink,12,0,25,15,2,4,0,0,0,32,0,6,4,0,0
com.bippesbrandao.phonegap.rechenknecht,13,33,41,50,2,5,8,0,0,64,2,5,0,0,0
de.applikationswerk.hannoverguide,13,5,74,44,0,7,2,0,0,87,0,4,4,0,0
org.councilroad.mychurch,13,33,41,52,2,5,8,0,0,64,2,5,0,0,0
com.iopensoft.pronto,13,9,75,5,3,8,1,1,0,3,1,5,1,0,0
de.stanwood.onair.phonegap,13,7,74,2,6,8,0,1,0,96,0,10,0,2,0
com.hiddenobjectdogs,13,9,75,8,2,8,1,1,0,11,1,3,1,0,0
com.fieldateam.coach,12,7,48,2,2,7,1,1,0,84,1,6,1,0,0
com.mestre.solidale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.keranmckenzie.oandx,13,8,75,21,2,8,1,1,0,94,1,11,1,0,0
com.yousaid.what,13,14,75,16,1,8,1,1,0,1,1,11,1,2,0
com.laformula1.android,13,6,74,1,12,3,1,0,0,3,0,4,0,0,0
com.tiggzi.project54500,13,12,75,1,0,8,4,0,0,3,0,10,0,0,0
com.cloudrobots.azfinance,13,6,74,59,0,7,0,0,0,87,0,4,0,0,0
info.i360.amamua,13,6,74,1,6,1,2,0,0,98,0,10,1,0,0
de.n1klas.whereisthesun,0,11,19,16,2,5,11,0,0,49,2,1,0,0,0
br.com.algorich.impostometro,12,7,47,1,0,6,1,0,0,88,0,22,1,0,0
com.parcye.hondcalc,13,4,61,7,2,6,1,0,0,80,0,4,0,0,0
com.audero.free.utility.whereiparkedmycar,13,6,74,1,5,7,2,0,0,87,0,4,0,0,0
com.semarketir.mosquedetector,13,7,74,16,2,8,1,0,0,5,0,10,1,0,0
com.fala.fastmail,13,12,75,1,0,7,3,0,0,1,0,10,0,0,0
org.teusink.droidpapers,13,9,75,1,2,7,1,1,0,3,1,10,1,0,0
com.ilscipio.browseo,12,5,47,17,0,6,0,0,0,85,0,3,0,0,0
org.opencorebanking.martfree,13,2,75,1,2,1,1,1,0,1,1,11,1,0,0
com.keepers.friocerofinal,13,9,75,1,1,8,1,1,0,3,1,11,1,0,0
com.darts_scorer.dartsScorer,13,6,74,1,0,8,0,0,0,98,0,10,0,0,0
org.devgeeks.fourzzzfm,13,33,41,7,5,5,2,0,0,16,2,2,0,0,0
cl.androidapps.metrovalpo,13,33,41,50,2,5,8,0,0,64,2,5,0,0,0
it.bettinglife.mobile.lite,13,6,74,1,0,7,0,0,0,98,0,10,0,0,0
com.app.telkomvision,12,8,48,1,2,7,1,1,0,3,1,6,1,0,0
com.randommunch,13,6,74,57,2,7,1,0,0,98,0,10,0,0,0
org.caou.bouncetothemoon,13,6,74,1,1,7,0,0,0,4,0,4,0,0,0
mobi.tapto.loadr,13,6,74,4,0,7,5,0,0,2,0,6,0,0,0
com.groundroad.salecalc,13,33,41,50,2,5,8,0,0,64,2,5,0,0,0
com.enmerchant.turnchef,13,9,75,8,1,8,1,1,0,3,1,3,1,0,0
com.urnotl.thepositivefactors,13,33,41,1,3,5,8,0,0,64,2,1,0,0,0
com.degenet.reiortiz,13,6,74,1,1,7,0,0,0,1,0,4,0,0,0
it.nowhere.afcoltellerie,13,8,68,8,2,8,1,1,0,94,1,11,1,0,0
com.gamzaz.app,0,15,36,2,11,5,1,0,0,5,2,5,0,0,0
com.eurovisionspain.eurovision_spain,13,9,75,21,6,8,1,1,0,3,1,11,1,0,0
ch.mitinnovation.apps.luegeten,13,3,66,36,1,6,7,0,0,80,0,4,0,0,0
com.labaix.roomheatpowcalc,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
com.spluhdap.hangmantogo,13,5,74,113,0,8,2,0,0,14,0,1,0,0,0
com.mobilecrud.clickorclash,13,9,68,8,8,8,1,1,0,3,1,6,1,0,0
com.spotamo.app,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0
com.szappatini.timber,13,3,74,1,1,1,0,0,0,1,0,4,1,0,0
com.prolateral.outmailusage,13,7,68,1,2,7,1,0,0,87,0,4,0,0,0
ac.defib.mobile,13,33,41,8,2,5,7,0,0,2,2,5,2,0,0
nl.markdegroot.harenharen,13,9,75,5,2,8,1,1,0,94,1,11,1,0,0
sg.com.safraradio.jia883fm,13,6,74,3,3,7,0,0,0,5,0,1,0,0,0
ch.schwingenonline.android (1),12,8,48,19,2,7,1,1,0,84,1,6,1,0,0
com.senddr.mobile,13,9,75,2,4,8,1,1,0,94,1,10,1,0,0
com.etpio.footwork,13,2,74,1,5,7,8,0,0,87,0,4,0,0,0
com.soffia.thealphabet,13,28,36,7,2,5,1,0,0,64,2,5,0,0,0
com.andygreen.AndyGreen,13,8,75,141,2,8,2,1,0,94,1,10,2,0,0
com.rouxbee.dottodotzoo.free,13,3,66,36,0,6,0,0,0,1,0,4,0,0,0
com.isuagm.suagm,13,6,74,1,1,7,2,0,0,98,0,10,1,0,0
com.phenu.speeker,13,8,75,8,2,8,1,1,0,4,1,6,1,2,0
com.camden.phonegapmega,0,4,37,1,4,5,3,0,0,1,3,1,0,0,0
com.phonegap.bearthdays,13,28,36,8,2,5,2,0,0,2,2,5,0,0,0
com.HangmanCreator,0,5,41,30,4,5,2,0,0,16,2,5,0,0,0
com.opentangerine.ejero.mobile,13,6,74,1,6,7,0,1,0,98,0,3,0,0,0
ntg.fuelstation.finder,13,6,74,1,10,7,1,0,0,87,0,4,0,0,0
de.disupport.GDApp,13,2,41,8,2,4,8,0,0,64,2,4,0,0,0
